se	total_rna	rna[A]	rnaA/total	dnaA/total	no_snp	ratio	binom_pval	bon_p	-log10(bon_p)	log2(ratio)	prop_rnaA
SE_01_03600255	46	29	0.6566666666666666	0.5306245902616366	5	1.2375353097429618	0.18648948816621536	0.7459579526648614	0.1272856516697918	0.30746968920382234	0.5-0.8
SE_01_03600003	451	450	0.9973474801061007	0.5736844575169295	13	1.7384948590430809	7.290682318269562e-107	2.9162729273078248e-106	105.53517183382557	0.7978388008337209	0.9-1.0
SE_01_03600506	80	80	1.0	0.6097475165829314	4	1.6400230797233442	9.687163471297119e-18	3.8748653885188477e-17	16.411743380135455	0.7137161177507502	0.9-1.0
SE_01_03600048	29	23	0.8166666666666667	0.7126269140652735	4	1.1459947000989408	0.4154241171605716	1.0	-0.0	0.19660037205410585	0.8-0.9
